Rk,G,Date,Series,Tm,Opp,G#,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc.1,Home/Away,Away,Home,Win/Loss,Point Diff,Stint,MP(dec)
1.0,1.0,2006-04-22,EC1,CLE,WAS,1.0,W (+11),1.0,48:00,12.0,27.0,0.444,1.0,4.0,0.25,7.0,11.0,0.636,3.0,8.0,11.0,11.0,0.0,0.0,4.0,3.0,32.0,23.3,11.0,0.503,0.463,6.4,19.5,12.5,42.3,0.0,0.0,11.2,33.6,115.0,105.0,23.3,H,0.0,1.0,W,11.0,CLE(06-10),48.0
2.0,2.0,2006-04-25,EC1,CLE,WAS,2.0,L (-5),1.0,43:28,7.0,25.0,0.28,1.0,6.0,0.167,11.0,15.0,0.733,2.0,7.0,9.0,2.0,2.0,3.0,10.0,5.0,26.0,6.7,-2.0,0.411,0.3,5.3,17.2,11.4,9.9,2.4,5.7,24.0,41.1,72.0,95.0,6.7,H,0.0,1.0,L,-5.0,CLE(06-10),43.46666666666667
3.0,3.0,2006-04-28,EC1,CLE,WAS,3.0,W (+1),1.0,47:37,16.0,28.0,0.571,3.0,5.0,0.6,6.0,9.0,0.667,1.0,4.0,5.0,3.0,2.0,0.0,4.0,3.0,41.0,27.4,1.0,0.641,0.625,2.2,11.9,6.4,16.0,2.1,0.0,11.1,33.3,119.0,104.0,27.4,@,1.0,0.0,W,1.0,CLE(06-10),47.61666666666667
4.0,4.0,2006-04-30,EC1,CLE,WAS,4.0,L (-10),1.0,45:20,13.0,23.0,0.565,7.0,12.0,0.583,5.0,7.0,0.714,1.0,5.0,6.0,5.0,0.0,0.0,7.0,5.0,38.0,23.0,-16.0,0.729,0.717,3.1,12.0,8.1,26.2,0.0,0.0,21.2,34.7,121.0,122.0,23.0,@,1.0,0.0,L,-10.0,CLE(06-10),45.333333333333336
5.0,5.0,2006-05-03,EC1,CLE,WAS,5.0,W (+1),1.0,46:07,14.0,23.0,0.609,0.0,1.0,0.0,17.0,18.0,0.944,5.0,2.0,7.0,6.0,2.0,0.0,4.0,5.0,45.0,38.4,-4.0,0.728,0.609,15.1,5.5,10.1,24.7,2.4,0.0,11.5,35.9,148.0,126.0,38.4,H,0.0,1.0,W,1.0,CLE(06-10),46.11666666666667
6.0,6.0,2006-05-05,EC1,CLE,WAS,6.0,W (+1),1.0,53:00,15.0,25.0,0.6,1.0,6.0,0.167,1.0,3.0,0.333,0.0,7.0,7.0,7.0,2.0,1.0,5.0,4.0,32.0,22.8,1.0,0.608,0.62,0.0,13.5,7.9,25.0,2.0,1.4,16.0,28.4,109.0,113.0,22.8,@,1.0,0.0,W,1.0,CLE(06-10),53.0
7.0,7.0,2006-05-07,ECS,CLE,DET,1.0,L (-27),1.0,36:00,9.0,18.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,22.0,12.2,-31.0,0.583,0.556,3.0,12.1,6.9,24.2,0.0,0.0,17.5,30.5,109.0,141.0,12.2,@,1.0,0.0,L,-27.0,CLE(06-10),36.0
8.0,8.0,2006-05-09,ECS,CLE,DET,2.0,L (-6),1.0,47:32,11.0,23.0,0.478,2.0,5.0,0.4,6.0,8.0,0.75,2.0,12.0,14.0,7.0,0.0,0.0,3.0,4.0,30.0,22.8,-4.0,0.566,0.522,4.4,28.2,15.9,29.6,0.0,0.0,10.2,29.6,117.0,111.0,22.8,@,1.0,0.0,L,-6.0,CLE(06-10),47.53333333333333
9.0,9.0,2006-05-13,ECS,CLE,DET,3.0,W (+9),1.0,48:00,9.0,18.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.0,10.0,10.0,10.0,4.0,1.0,4.0,2.0,21.0,21.9,9.0,0.556,0.528,0.0,24.4,13.5,40.0,5.1,1.9,17.5,26.0,108.0,86.0,21.9,H,0.0,1.0,W,9.0,CLE(06-10),48.0
10.0,10.0,2006-05-15,ECS,CLE,DET,4.0,W (+2),1.0,48:00,8.0,23.0,0.348,1.0,2.0,0.5,5.0,10.0,0.5,1.0,7.0,8.0,9.0,2.0,2.0,8.0,3.0,22.0,10.4,2.0,0.401,0.37,3.1,17.5,11.1,42.9,2.4,3.3,22.6,37.9,78.0,84.0,10.4,H,0.0,1.0,W,2.0,CLE(06-10),48.0
11.0,11.0,2006-05-17,ECS,CLE,DET,5.0,W (+2),1.0,46:50,13.0,30.0,0.433,1.0,4.0,0.25,5.0,7.0,0.714,3.0,2.0,5.0,5.0,2.0,1.0,2.0,3.0,32.0,21.1,2.0,0.484,0.45,6.1,5.0,5.6,29.0,2.4,1.6,5.7,34.4,112.0,103.0,21.1,@,1.0,0.0,W,2.0,CLE(06-10),46.833333333333336
12.0,12.0,2006-05-19,ECS,CLE,DET,6.0,L (-2),1.0,47:50,8.0,20.0,0.4,1.0,5.0,0.2,15.0,18.0,0.833,0.0,11.0,11.0,5.0,1.0,1.0,7.0,2.0,32.0,20.7,-2.0,0.573,0.425,0.0,26.9,14.3,22.8,1.3,1.9,20.0,38.7,104.0,103.0,20.7,H,0.0,1.0,L,-2.0,CLE(06-10),47.833333333333336
13.0,13.0,2006-05-21,ECS,CLE,DET,7.0,L (-18),1.0,46:45,11.0,24.0,0.458,0.0,4.0,0.0,5.0,8.0,0.625,3.0,5.0,8.0,2.0,1.0,0.0,3.0,2.0,27.0,15.6,-16.0,0.491,0.458,7.0,12.8,9.8,23.6,1.3,0.0,9.8,35.3,95.0,104.0,15.6,@,1.0,0.0,L,-18.0,CLE(06-10),46.75
14.0,1.0,2007-04-22,EC1,CLE,WAS,1.0,W (+15),1.0,44:19,7.0,14.0,0.5,0.0,2.0,0.0,9.0,11.0,0.818,2.0,7.0,9.0,7.0,2.0,0.0,1.0,1.0,23.0,24.2,17.0,0.61,0.5,5.6,16.1,11.3,31.0,2.5,0.0,5.0,21.5,136.0,93.0,24.2,H,0.0,1.0,W,15.0,CLE(06-10),44.31666666666667
15.0,2.0,2007-04-25,EC1,CLE,WAS,2.0,W (+7),1.0,45:00,8.0,22.0,0.364,0.0,3.0,0.0,11.0,13.0,0.846,4.0,4.0,8.0,7.0,1.0,2.0,2.0,2.0,27.0,22.5,12.0,0.487,0.364,10.4,8.1,9.1,23.7,1.2,3.1,6.7,28.2,121.0,110.0,22.5,H,0.0,1.0,W,7.0,CLE(06-10),45.0
16.0,3.0,2007-04-28,EC1,CLE,WAS,3.0,W (+6),1.0,46:02,11.0,22.0,0.5,3.0,5.0,0.6,5.0,7.0,0.714,0.0,6.0,6.0,9.0,1.0,0.0,2.0,3.0,30.0,24.1,6.0,0.598,0.568,0.0,13.9,7.7,35.4,1.3,0.0,7.4,28.8,133.0,111.0,24.1,@,1.0,0.0,W,6.0,CLE(06-10),46.03333333333333
17.0,4.0,2007-04-30,EC1,CLE,WAS,4.0,W (+7),1.0,46:11,8.0,22.0,0.364,1.0,5.0,0.2,14.0,17.0,0.824,3.0,8.0,11.0,7.0,3.0,1.0,2.0,3.0,31.0,27.5,12.0,0.526,0.386,8.0,19.8,14.1,30.7,3.5,1.7,6.4,33.2,119.0,96.0,27.5,@,1.0,0.0,W,7.0,CLE(06-10),46.18333333333333
