Rk,G,Date,Series,Tm,Unnamed: 5,Opp,G#,Unnamed: 8,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Away,Home,Outcome,Point Diff
1.0,1.0,2006-04-22,EC1,CLE,0,WAS,1.0,W (+11),1.0,48:00,12.0,27.0,0.444,1.0,4.0,0.25,7.0,11.0,0.636,3.0,8.0,11.0,11.0,0.0,0.0,4.0,3.0,32.0,23.3,11.0,0.0,1.0,W,11.0
2.0,2.0,2006-04-25,EC1,CLE,0,WAS,2.0,L (-5),1.0,43:28,7.0,25.0,0.28,1.0,6.0,0.167,11.0,15.0,0.733,2.0,7.0,9.0,2.0,2.0,3.0,10.0,5.0,26.0,6.7,-2.0,0.0,1.0,L,-5.0
3.0,3.0,2006-04-28,EC1,CLE,@,WAS,3.0,W (+1),1.0,47:37,16.0,28.0,0.571,3.0,5.0,0.6,6.0,9.0,0.667,1.0,4.0,5.0,3.0,2.0,0.0,4.0,3.0,41.0,27.4,1.0,1.0,0.0,W,1.0
4.0,4.0,2006-04-30,EC1,CLE,@,WAS,4.0,L (-10),1.0,45:20,13.0,23.0,0.565,7.0,12.0,0.583,5.0,7.0,0.714,1.0,5.0,6.0,5.0,0.0,0.0,7.0,5.0,38.0,23.0,-16.0,1.0,0.0,L,-10.0
5.0,5.0,2006-05-03,EC1,CLE,0,WAS,5.0,W (+1),1.0,46:07,14.0,23.0,0.609,0.0,1.0,0.0,17.0,18.0,0.944,5.0,2.0,7.0,6.0,2.0,0.0,4.0,5.0,45.0,38.4,-4.0,0.0,1.0,W,1.0
6.0,6.0,2006-05-05,EC1,CLE,@,WAS,6.0,W (+1),1.0,53:00,15.0,25.0,0.6,1.0,6.0,0.167,1.0,3.0,0.333,0.0,7.0,7.0,7.0,2.0,1.0,5.0,4.0,32.0,22.8,1.0,1.0,0.0,W,1.0
7.0,7.0,2006-05-07,ECS,CLE,@,DET,1.0,L (-27),1.0,36:00,9.0,18.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,22.0,12.2,-31.0,1.0,0.0,L,-27.0
8.0,8.0,2006-05-09,ECS,CLE,@,DET,2.0,L (-6),1.0,47:32,11.0,23.0,0.478,2.0,5.0,0.4,6.0,8.0,0.75,2.0,12.0,14.0,7.0,0.0,0.0,3.0,4.0,30.0,22.8,-4.0,1.0,0.0,L,-6.0
9.0,9.0,2006-05-13,ECS,CLE,0,DET,3.0,W (+9),1.0,48:00,9.0,18.0,0.5,1.0,4.0,0.25,2.0,2.0,1.0,0.0,10.0,10.0,10.0,4.0,1.0,4.0,2.0,21.0,21.9,9.0,0.0,1.0,W,9.0
10.0,10.0,2006-05-15,ECS,CLE,0,DET,4.0,W (+2),1.0,48:00,8.0,23.0,0.348,1.0,2.0,0.5,5.0,10.0,0.5,1.0,7.0,8.0,9.0,2.0,2.0,8.0,3.0,22.0,10.4,2.0,0.0,1.0,W,2.0
11.0,11.0,2006-05-17,ECS,CLE,@,DET,5.0,W (+2),1.0,46:50,13.0,30.0,0.433,1.0,4.0,0.25,5.0,7.0,0.714,3.0,2.0,5.0,5.0,2.0,1.0,2.0,3.0,32.0,21.1,2.0,1.0,0.0,W,2.0
12.0,12.0,2006-05-19,ECS,CLE,0,DET,6.0,L (-2),1.0,47:50,8.0,20.0,0.4,1.0,5.0,0.2,15.0,18.0,0.833,0.0,11.0,11.0,5.0,1.0,1.0,7.0,2.0,32.0,20.7,-2.0,0.0,1.0,L,-2.0
13.0,13.0,2006-05-21,ECS,CLE,@,DET,7.0,L (-18),1.0,46:45,11.0,24.0,0.458,0.0,4.0,0.0,5.0,8.0,0.625,3.0,5.0,8.0,2.0,1.0,0.0,3.0,2.0,27.0,15.6,-16.0,1.0,0.0,L,-18.0
14.0,1.0,2007-04-22,EC1,CLE,0,WAS,1.0,W (+15),1.0,44:19,7.0,14.0,0.5,0.0,2.0,0.0,9.0,11.0,0.818,2.0,7.0,9.0,7.0,2.0,0.0,1.0,1.0,23.0,24.2,17.0,0.0,1.0,W,15.0
15.0,2.0,2007-04-25,EC1,CLE,0,WAS,2.0,W (+7),1.0,45:00,8.0,22.0,0.364,0.0,3.0,0.0,11.0,13.0,0.846,4.0,4.0,8.0,7.0,1.0,2.0,2.0,2.0,27.0,22.5,12.0,0.0,1.0,W,7.0
16.0,3.0,2007-04-28,EC1,CLE,@,WAS,3.0,W (+6),1.0,46:02,11.0,22.0,0.5,3.0,5.0,0.6,5.0,7.0,0.714,0.0,6.0,6.0,9.0,1.0,0.0,2.0,3.0,30.0,24.1,6.0,1.0,0.0,W,6.0
17.0,4.0,2007-04-30,EC1,CLE,@,WAS,4.0,W (+7),1.0,46:11,8.0,22.0,0.364,1.0,5.0,0.2,14.0,17.0,0.824,3.0,8.0,11.0,7.0,3.0,1.0,2.0,3.0,31.0,27.5,12.0,1.0,0.0,W,7.0
18.0,5.0,2007-05-06,ECS,CLE,0,NJN,1.0,W (+4),1.0,46:01,8.0,21.0,0.381,1.0,4.0,0.25,4.0,6.0,0.667,2.0,9.0,11.0,7.0,1.0,1.0,3.0,2.0,21.0,15.6,6.0,0.0,1.0,W,4.0
19.0,6.0,2007-05-08,ECS,CLE,0,NJN,2.0,W (+10),1.0,45:49,12.0,24.0,0.5,3.0,7.0,0.429,9.0,13.0,0.692,0.0,1.0,1.0,12.0,3.0,0.0,2.0,2.0,36.0,31.3,8.0,0.0,1.0,W,10.0
20.0,7.0,2007-05-12,ECS,CLE,@,NJN,3.0,L (-11),1.0,44:08,5.0,16.0,0.313,1.0,5.0,0.2,7.0,7.0,1.0,0.0,6.0,6.0,12.0,0.0,0.0,2.0,2.0,18.0,16.2,-12.0,1.0,0.0,L,-11.0
